"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"305","Unincorporated - Val Verde",27,816,718,1,30,50,1054,31853,31018,3309
"306","Unincorporated - Valencia",13,423,980,1,33,258,192,6250,7615,3072
"307","Unincorporated - Valinda",229,980,958,1,4,5,1772,7582,7439,23371
"308","Unincorporated - View Park/Windsor Hills",60,516,520,2,17,7,1536,13202,12746,11635
"309","Unincorporated - Walnut Park",258,1598,1584,4,25,27,1417,8778,8640,16143
"310","Unincorporated - West Antelope Valley",3,199,248,0,0,0,41,2713,2232,1511
"311","Unincorporated - West Carson",152,688,585,11,50,30,2224,10070,9089,22086
"312","Unincorporated - West LA",25,2626,2099,2,210,67,423,44433,35250,952
"313","Unincorporated - West Puente Valley",115,1169,1151,0,0,0,839,8531,8270,9835
"314","Unincorporated - West Rancho Dominguez",10,736,743,1,74,63,109,8021,7612,1359
"315","Unincorporated - West Whittier/Los Nietos",327,1214,1200,5,19,19,2326,8639,8564,26925
"316","Unincorporated - Westfield/Academy Hills",1,77,117,0,0,0,74,5692,4784,1300
"317","Unincorporated - Westhills",3,358,640,0,0,0,79,9416,10705,839
"318","Unincorporated - White Fence Farms",17,462,534,0,0,0,199,5403,5861,3683
"319","Unincorporated - Whittier",18,476,476,0,0,0,250,6607,6202,3784
"320","Unincorporated - Willowbrook",522,1495,1528,9,26,33,3949,11311,11573,34913
"321","Unincorporated - Wiseburn",38,630,586,0,0,0,560,9292,9125,6027
"322","Unincorporated - Cerritos",0,0,0,0,0,0,42,7155,7088,587
"323","Unincorporated - Claremont",0,0,0,0,0,0,36,5128,6969,702
"324","Unincorporated - East Covina",0,0,0,0,0,0,21,6383,6714,329
"325","Unincorporated - East Lancaster",0,0,0,0,0,0,4,3509,1541,114
"326","Unincorporated - Harbor Gateway",0,0,0,0,0,0,3,3e+05,10453,1
"327","Unincorporated - La Habra Heights",0,0,0,0,0,0,12,1775,2519,676
"328","Unincorporated - Palos Verdes Peninsula",0,0,0,0,0,0,42,6763,8314,621
"329","Unincorporated - Placerita Canyon",0,0,0,0,0,0,8,1739,2265,460
"330","Unincorporated - Sand Canyon",0,0,0,0,0,0,28,9091,18840,308
"331","Unincorporated - Saugus/Canyon Country",0,0,0,0,0,0,35,9831,9768,356
"332","Unincorporated - Whittier Narrows",0,0,0,0,0,0,4,33333,17665,12
